id,for_user_id,round_id,item,idea_content,rater1,rater2,rater3
40001,1,1,box,break dancing mat,3,1,2
40002,1,1,box,chair for a broke college student,2,2,1
40003,1,1,box,earrings,2,1,2
40004,1,1,box,high fashion runway outfit,4,4,2
40005,1,1,box,home for a broke college student,2,2,1
40006,1,1,box,logo for a based company,2,2,3
40007,1,1,box,modern art piece,2,2,1
40008,1,1,box,object head,2,1,1
40009,1,1,box,sex toy,1,2,3
40010,1,1,box,table for a broke college student,2,2,1
40011,2,1,box,can put keys in the,1,1,2
40012,2,1,box,drugs,1,1,1
40013,2,1,box,games,2,1,2
40014,2,1,box,hide into,2,1,2
40015,2,1,box,put money into,1,1,1
40016,2,1,box,put papers into,1,1,1
40017,2,1,box,snacks,1,1,2
40018,2,1,box,stash condoms,2,2,1
40019,2,1,box,stash of cigarillos,2,2,1
40020,2,1,box,toys,2,2,1
40021,3,1,box,to build a fort,2,1,2
40022,3,1,box,to collect eggs out on the ole Danish farm,1,4,4
40023,3,1,box,to collect used shoelaces,1,3,1
40024,3,1,box,to cut up and make Christmas ornaments out of,2,4,2
40025,3,1,box,to keep your embarrassing life memories in,2,3,2
40026,3,1,box,to see what it's like to live in a/ be homeless,2,2,2
40027,3,1,box,to use as a toilet when needed,2,2,2
40028,3,1,box,to use to stand on to reach things that are hard to reach for vertically challenged people,2,3,1
40029,5,1,box,bed for an animal,2,1,2
40030,5,1,box,fort for a child,2,1,2
40031,5,1,box,sled for children to push each other in,2,1,1
40032,6,1,box,make shift home,2,1,1
40033,6,1,box,make smaller from it,3,2,2
40034,6,1,box,turn it in to a basketball goal,2,2,2
40035,6,1,box,use a hockey goal,3,2,2
40036,6,1,box,use a trashcan,2,2,1
40037,6,1,box,use as a hat,2,1,1
40038,6,1,box,wear it as a sign,2,2,1
40040,7,1,box,hide and go seek,2,2,2
40041,7,1,box,restaurant,1,1,1
40042,7,1,box,your little apartment,2,2,3
40043,7,1,box,your own room,2,2,2
40044,8,1,box,find a wet  slick hill and slide down,2,1,1
40045,8,1,box,put a pillow in the and toss it around,2,1,2
40046,8,1,box,use the as a car and have fun,2,1,2
40047,9,1,box,Art supplies,1,1,1
40048,9,1,box,boat,2,1,2
40049,9,1,box,carry baby rabbits,2,1,1
40050,9,1,box,cover a spider from moving,2,2,2
40051,9,1,box,doll house,2,1,2
40052,9,1,box,Hold books,1,1,1
40053,9,1,box,hold hair products,1,1,1
40054,9,1,box,live in,2,1,1
40055,9,1,box,paperwork,1,1,1
40056,9,1,box,rocket,2,2,2
40057,10,1,box,chair,2,1,1
40058,10,1,box,friend,2,1,2
40059,10,1,box,glove,2,2,2
40060,10,1,box,hat,2,1,1
40061,10,1,box,house,2,1,1
40062,10,1,box,laundry basket,3,2,1
40063,10,1,box,roof,3,2,1
40064,10,1,box,shoe,2,1,1
40065,11,1,box,as a form of clothing,2,1,1
40066,11,1,box,Making a jewelry out of it,1,2,1
40067,11,1,box,Using it as a hat,2,1,1
40068,11,1,box,Using it as a lamp shade,4,4,2
40069,11,1,box,Using it as a picnic table,2,2,1
40070,12,1,box,bookshelf,2,1,2
40071,12,1,box,clubhouse,2,1,2
40072,12,1,box,dinner stand,2,1,1
40073,12,1,box,drum,2,2,2
40074,12,1,box,flattened for a dog bed,3,1,2
40075,12,1,box,helmet,3,2,2
40076,12,1,box,imaginary computer for children,3,2,2
40077,12,1,box,kids table,3,1,1
40078,12,1,box,nail polish display case,2,2,1
40079,12,1,box,organizer,1,1,1
40080,12,1,box,picture frame,2,3,2
40081,12,1,box,piggy bank,3,2,2
40082,12,1,box,place mat,3,3,2
40083,12,1,box,spaceship,2,2,2
40084,13,1,box,A convenient table,3,1,1
40085,13,1,box,For use as a turtle shell when making a turtle costume,4,3,3
