id,for_user_id,round_id,item,idea_content,rater1,rater2,rater3,self
50001,1,2,rope,necklace,2,1,2,3
50002,1,2,rope,sculpture,2,2,2,3
50003,1,2,rope,used as pasta in a children's play,3,3,2,3
50004,1,2,rope,weave,2,2,2,3
50005,2,2,rope,climbing up trees  or other things,2,1,1,4
50006,2,2,rope,dangling something from a that has weight,1,1,1,5
50007,2,2,rope,exercising,2,1,1,5
50008,2,2,rope,hang someone,2,1,1,4
50009,2,2,rope,letting the be the and not mess with it,1,2,2,5
50010,2,2,rope,pulling an item with the,1,1,1,4
50011,2,2,rope,throwing a to reach something,1,2,1,4
50012,2,2,rope,trip someone,2,1,1,4
50014,3,2,rope,to hang thyself with,2,3,1,1
50015,3,2,rope,to hold in your hand as you walk down the aisle,2,3,2,5
50016,3,2,rope,to tie things together with it,1,1,1,1
50017,3,2,rope,to use it to hang up precious pictures of your 67 cats,3,5,5,5
50018,3,2,rope,to use to drag the small child you are supposed to be watching over around in the yard,2,3,4,4
50019,3,2,rope,to use to play with your dinosaur,2,2,3,5
50020,3,2,rope,to use to play with your dog,2,1,1,3
50021,3,2,rope,to use to play with your spider,2,2,2,4
50022,3,2,rope,to use to support your makeshift raft off the coast of France,3,3,4,4
50023,5,2,rope,cut into pieces for hair pieces for a little girl,3,3,2,2
50024,5,2,rope,playing a game called red rover,2,3,1,2
50025,5,2,rope,training a dog to jump,3,3,2,3
50026,5,2,rope,tug of war,1,1,1,1
50027,6,2,rope,play tug of war,1,1,1,1
50028,6,2,rope,use a makeshift handcuffs,2,2,1,3
50029,6,2,rope,use as a belt,2,1,1,5
50030,6,2,rope,use it to hold things together,1,1,1,2
50031,6,2,rope,use it to pull a car,2,1,1,1
50032,7,2,rope,a belt for dress up,2,1,1,4
50033,7,2,rope,jump,1,1,1,2
50034,7,2,rope,leash for stuffed animals,3,1,2,3
50035,7,2,rope,limbo,2,2,1,2
50036,7,2,rope,playing in a rodeo,2,1,1,3
50037,7,2,rope,pretend to be a gymnast  and use as a balance beam,3,3,2,4
50038,7,2,rope,scarf for dress up,3,2,2,4
50039,7,2,rope,tug war,1,1,1,2
50040,7,2,rope,tying yourself to another person,1,1,1,3
50041,8,2,rope,tie it to a  box and pull some one around,1,1,1,3
50042,9,2,rope,booby traps,2,2,1,4
50043,9,2,rope,jump,1,1,1,1
50044,9,2,rope,make a birds nest,5,3,2,3
50045,9,2,rope,making a fishing net,2,2,1,5
50046,9,2,rope,making a hammock,1,2,2,5
50047,9,2,rope,making a whip,2,1,1,2
50048,9,2,rope,making it look like a snake to scare people,2,2,2,3
50049,9,2,rope,placing it on a high tree and climbing it,2,1,1,2
50050,9,2,rope,playing helicopter,1,3,1,1
50051,9,2,rope,swing,2,1,1,3
50052,9,2,rope,Tarzan,1,1,2,2
50053,10,2,rope,ankle bracelet,2,2,2,5
50054,10,2,rope,belt,2,1,1,2
50055,10,2,rope,bow tie,3,2,2,5
50056,10,2,rope,bracelet,2,1,2,3
50057,10,2,rope,head band,2,1,2,3
50058,10,2,rope,jump,1,1,1,1
50059,10,2,rope,lasso,2,1,1,1
50060,10,2,rope,necklace,2,1,2,4
50061,10,2,rope,shirt,1,1,1,5
50062,10,2,rope,to tie someone up,2,1,1,1
50063,10,2,rope,weapon,1,1,1,1
50064,11,2,rope,as a border for a table,4,2,2,2
50065,11,2,rope,As a play toy for a cat,2,2,1,2
50066,11,2,rope,As a way to hang a scary figure in a closet on Halloween,2,3,3,4
50067,11,2,rope,Make it into a purse or hat,1,2,2,3
50068,12,2,rope,bag strap,3,2,1,4
50069,12,2,rope,bracelet,2,1,2,3
50070,12,2,rope,braided into wall art,3,2,2,5
50071,12,2,rope,curtain tie,2,2,2,3
50072,12,2,rope,decorating,1,1,1,5
50073,12,2,rope,dog leash,2,1,1,2
50074,12,2,rope,fishing,2,1,1,3
50075,12,2,rope,fringe the ends for cute tassels,3,3,2,5
50076,12,2,rope,hair bow,2,1,2,4
50077,12,2,rope,hang tire,2,1,1,2
50078,12,2,rope,making vases,3,3,2,5
50079,12,2,rope,necklace,2,1,2,3
50080,12,2,rope,picture hanger,2,2,2,3
50081,12,2,rope,pig leash,2,1,2,2
50082,12,2,rope,pull a wagon,3,1,1,2
50083,12,2,rope,restraint,2,1,1,2
